Overriding config with config/train_shakespeare_char_cpu.py:
# Tiny char-level GPT sized for a CPU-only Intel Mac.
# Trains in roughly 10-15 minutes and produces recognisably Shakespeare-ish text.
# Run: python train.py config/train_shakespeare_char_cpu.py

out_dir = 'out-shakespeare-char-cpu'
eval_interval = 250
eval_iters = 50
log_interval = 10

always_save_checkpoint = False  # only save when val loss improves

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 64  # context length: how many characters of history

# a baby GPT: ~0.8M params
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.0

learning_rate = 1e-3
max_iters = 2000
lr_decay_iters = 2000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'cpu'
compile = False  # torch.compile has no speed benefit here and is slow to warm up

# train.py defaults dtype to float16 when no CUDA bf16 is present, which then
# switches on a CUDA GradScaler that cannot work on this machine. Force float32.
dtype = 'float32'

tokens per iteration will be: 2,048
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
iter 810: loss 1.8140, time 100.81ms, mfu 0.03%
iter 820: loss 1.8106, time 100.94ms, mfu 0.03%
iter 830: loss 1.7900, time 99.29ms, mfu 0.03%
iter 840: loss 1.8198, time 105.99ms, mfu 0.03%
iter 850: loss 1.8155, time 101.82ms, mfu 0.03%
iter 860: loss 1.8572, time 110.44ms, mfu 0.03%
iter 870: loss 1.8389, time 97.78ms, mfu 0.03%
iter 880: loss 1.7967, time 102.09ms, mfu 0.03%
iter 890: loss 1.8627, time 117.08ms, mfu 0.03%
iter 900: loss 1.7551, time 101.92ms, mfu 0.03%
iter 910: loss 1.7935, time 97.18ms, mfu 0.03%
iter 920: loss 1.7969, time 96.13ms, mfu 0.03%
iter 930: loss 1.7639, time 95.71ms, mfu 0.03%
iter 940: loss 1.7997, time 96.17ms, mfu 0.03%
iter 950: loss 1.8670, time 97.38ms, mfu 0.03%
iter 960: loss 1.8180, time 97.70ms, mfu 0.03%
iter 970: loss 1.8742, time 103.86ms, mfu 0.03%
iter 980: loss 1.7586, time 101.90ms, mfu 0.03%
iter 990: loss 1.6841, time 99.98ms, mfu 0.03%
step 1000: train loss 1.7798, val loss 1.9282
saving checkpoint to out-shakespeare-char-cpu
iter 1000: loss 1.8177, time 2438.02ms, mfu 0.03%
iter 1010: loss 1.7919, time 118.04ms, mfu 0.03%
iter 1020: loss 1.7487, time 101.24ms, mfu 0.03%
iter 1030: loss 1.6829, time 109.62ms, mfu 0.03%
iter 1040: loss 1.7804, time 141.13ms, mfu 0.03%
iter 1050: loss 1.7996, time 186.44ms, mfu 0.03%
iter 1060: loss 1.7331, time 156.19ms, mfu 0.03%
iter 1070: loss 1.7483, time 123.16ms, mfu 0.03%
iter 1080: loss 1.7579, time 162.36ms, mfu 0.03%
iter 1090: loss 1.7773, time 132.45ms, mfu 0.03%
iter 1100: loss 1.6835, time 163.36ms, mfu 0.03%
iter 1110: loss 1.7787, time 155.92ms, mfu 0.03%
iter 1120: loss 1.7240, time 146.80ms, mfu 0.03%
iter 1130: loss 1.7652, time 161.31ms, mfu 0.03%
iter 1140: loss 1.6363, time 125.68ms, mfu 0.03%
iter 1150: loss 1.6699, time 143.51ms, mfu 0.03%
iter 1160: loss 1.7856, time 174.83ms, mfu 0.02%
iter 1170: loss 1.7348, time 127.95ms, mfu 0.02%
iter 1180: loss 1.6547, time 138.83ms, mfu 0.02%
